seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,,Mobile,% mobile
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,6,AFG,Afghanistan,0.00107894,2015,,Afghanistan Telecom Regulatory Authority,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,6,AFG,Afghanistan,0.00139044,2016,,Afghanistan Telecom Regulatory Authority,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,6,AFG,Afghanistan,0.00147927,2017,,Afghanistan Telecom Regulatory Authority,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,6,AFG,Afghanistan,0.00233229,2018,,Afghanistan Telecommunication Regulatory Authority.,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,6,AFG,Afghanistan,0.00356313,2019,,Afghanistan Telecommunication Regulatory Authority.,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,6,AFG,Afghanistan,0.0036,2020,,Afghanistan Telecommunication Regulatory Authority.,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,0.33,2015,"2014 data was 0.22, there was an error in calculations.",Independent Communications Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,0.28,2016,,Independent Communication Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,0.32,2017,,Independent Communication Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,0.647521,2018,,Independent Communications Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
